Coluna,Lag (h),Lag_start (h),Lag_end (h),Lag_dur (h),Exp (h),Exp_start (h),Exp_end (h),Exp_dur (h),Est (h),Est_start (h),Est_end (h),Est_dur (h),Dec (h),Dec_start (h),Dec_end (h),Dec_dur (h)
Abs Meio 1,0.076–0.722,0.076,0.7221666666666666,0.6461666666666667,0.722–2.722,0.7221666666666666,2.7223333333333333,2.000166666666667,2.722–3.390,2.7223333333333333,3.3901666666666666,0.6678333333333333,n/d,,,
Abs Meio 2,0.076–0.722,0.076,0.7221666666666666,0.6461666666666667,0.722–2.722,0.7221666666666666,2.7223333333333333,2.000166666666667,2.722–3.390,2.7223333333333333,3.3901666666666666,0.6678333333333333,n/d,,,
Abs Meio 3,0.076–0.722,0.076,0.7221666666666666,0.6461666666666667,0.722–2.394,0.7221666666666666,2.3945,1.6723333333333332,2.394–3.390,2.3945,3.3901666666666666,0.9956666666666667,n/d,,,
Abs Meio 4,0.076–0.722,0.076,0.7221666666666666,0.6461666666666667,0.722–3.390,0.7221666666666666,3.3901666666666666,2.668,n/d,,,,n/d,,,
Abs Meio 5,0.076–0.722,0.076,0.7221666666666666,0.6461666666666667,0.722–2.722,0.7221666666666666,2.7223333333333333,2.000166666666667,2.722–3.390,2.7223333333333333,3.3901666666666666,0.6678333333333333,n/d,,,
